"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","API","popular_destinations","0","0","0","1","0"
"","API","covid_restrictions_from_blog","0","0","2","2","0"
"","API","holidays","0","0","0","1","0"
"","Mobile","Hotel search","0","0","1","0","0"
"","UI","Search","0","0","1","0","0"
"","API","multicomplete","0","0","4","0","0"
"","Mobile","Support","0","0","1","0","0"
"","API","history","0","0","1","0","0"
"","UI","Currency","0","0","2","0","0"
"","UI","Login","0","0","1","0","0"
"","Mobile","User login","0","0","1","0","0"
"","UI","Language","0","0","1","0","0"
"","UI","Main page","0","0","1","0","0"
