"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Apr 12 21:39:33 CEST 2023","Wed Apr 12 21:39:37 CEST 2023","3702","tests.API","test_ostrovok_api","","","","test_popular_destinations",""
"passed","Wed Apr 12 21:39:37 CEST 2023","Wed Apr 12 21:39:37 CEST 2023","86","tests.API","test_ostrovok_api","","","","test_covid_restrictions[ru-us]",""
"skipped","Wed Apr 12 21:39:37 CEST 2023","Wed Apr 12 21:39:37 CEST 2023","105","tests.API","test_ostrovok_api","","","","test_holidays",""
"passed","Wed Apr 12 21:36:46 CEST 2023","Wed Apr 12 21:36:56 CEST 2023","10029","tests.Mobile","test_ostrovok_android","","","","test_hotel_search_results_for_popular_city[2-Moscow]",""
"passed","Wed Apr 12 21:40:01 CEST 2023","Wed Apr 12 21:40:08 CEST 2023","6994","tests.UI","test_ostrovok_web_ui","","","","test_simple_search[Moscow]",""
"passed","Wed Apr 12 21:39:38 CEST 2023","Wed Apr 12 21:39:38 CEST 2023","102","tests.API","test_ostrovok_api","","","","test_hotel_search[en-Istanbul%2C%20Turkiye]",""
"passed","Wed Apr 12 21:38:20 CEST 2023","Wed Apr 12 21:38:24 CEST 2023","4185","tests.Mobile","test_ostrovok_android","","","","test_support[2]",""
"skipped","Wed Apr 12 21:39:37 CEST 2023","Wed Apr 12 21:39:37 CEST 2023","102","tests.API","test_ostrovok_api","","","","test_covid_restrictions[ru-ru]",""
"passed","Wed Apr 12 21:39:37 CEST 2023","Wed Apr 12 21:39:38 CEST 2023","121","tests.API","test_ostrovok_api","","","","test_hotel_search_history",""
"passed","Wed Apr 12 21:39:37 CEST 2023","Wed Apr 12 21:39:37 CEST 2023","174","tests.API","test_ostrovok_api","","","","test_covid_restrictions[en-us]",""
"skipped","Wed Apr 12 21:39:37 CEST 2023","Wed Apr 12 21:39:37 CEST 2023","93","tests.API","test_ostrovok_api","","","","test_covid_restrictions[en-ru]",""
"passed","Wed Apr 12 21:39:38 CEST 2023","Wed Apr 12 21:39:38 CEST 2023","88","tests.API","test_ostrovok_api","","","","test_hotel_search[en-Moscow%2C%20Russia]",""
"passed","Wed Apr 12 21:40:20 CEST 2023","Wed Apr 12 21:40:22 CEST 2023","2274","tests.UI","test_ostrovok_web_ui","","","","test_find_fake_currency",""
"passed","Wed Apr 12 21:39:38 CEST 2023","Wed Apr 12 21:39:38 CEST 2023","100","tests.API","test_ostrovok_api","","","","test_hotel_search[ru-Istanbul%2C%20Turkiye]",""
"passed","Wed Apr 12 21:40:08 CEST 2023","Wed Apr 12 21:40:12 CEST 2023","3865","tests.UI","test_ostrovok_web_ui","","","","test_login",""
"passed","Wed Apr 12 21:37:31 CEST 2023","Wed Apr 12 21:37:39 CEST 2023","7123","tests.Mobile","test_ostrovok_android","","","","test_login",""
"passed","Wed Apr 12 21:40:17 CEST 2023","Wed Apr 12 21:40:20 CEST 2023","2857","tests.UI","test_ostrovok_web_ui","","","","test_change_currency",""
"passed","Wed Apr 12 21:40:12 CEST 2023","Wed Apr 12 21:40:13 CEST 2023","1437","tests.UI","test_ostrovok_web_ui","","","","test_change_lang",""
"passed","Wed Apr 12 21:40:13 CEST 2023","Wed Apr 12 21:40:15 CEST 2023","1631","tests.UI","test_ostrovok_web_ui","","","","test_check_title_with_lang",""
"passed","Wed Apr 12 21:39:38 CEST 2023","Wed Apr 12 21:39:38 CEST 2023","88","tests.API","test_ostrovok_api","","","","test_hotel_search[ru-Moscow%2C%20Russia]",""
